sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam5,,,,KINOTOS AL WHISKY,helado,crema vainilla,0
catam5,,,,VAINILLA,helado,crema vainilla,0
catam5,,,,VAINILLA GRANIZADA,helado,crema vainilla,0
catam5,,,,CHOCOTORTA,helado,dulce de leche,0
catam5,,,,DOLCCINO,helado,dulce de leche,0
catam5,,,,DULCE DE LECHE,helado,dulce de leche,0
catam5,,,,DULCE DE LECHE BOMBON,helado,dulce de leche,0
catam5,,,,DULCE DE LECHE CON NUEZ,helado,dulce de leche,0
catam5,,,,DULCE DE LECHE GRANIZADO,helado,dulce de leche,0
catam5,,,,DULCE DE LECHE TENTACION,helado,dulce de leche,0
catam5,,,,ANANA,helado,frutas,0
catam5,,,,DURAZNO AL AGUA,helado,frutas,0
catam5,,,,FRUTILLA AL AGUA,helado,frutas,0
catam5,,,,LIMON,helado,frutas,0
catam5,,,,MANGO,helado,frutas,0
catam5,,,,Cheescake DL/ Oreo,minitortas,,0
catam5,,,,Dulccina,minitortas,,0
catam5,,,,Nutella,minitortas,,0
catam5,,,,Carita,paletas,,0
catam5,,,,Chancho,paletas,,0
catam5,,,,Clasica,paletas,,0
catam5,,,,Corazon,paletas,,0
catam5,,,,Cristal,paletas,,0
catam5,,,,Dona Banana Split,paletas,,0
catam5,,,,Dona flan,paletas,,0
catam5,,,,Dubai,paletas,,0
catam5,,,,Hello Kitty,paletas,,0
catam5,,,,Pata,paletas,,0
catam5,,,,Tango,paletas,,0
catam5,,,,Torta,paletas,,0
catam5,,,,Vaca Aurora,paletas,,0
catam5,,,,chocolatin,paletas,,0
catam5,,,,Brownie,tartas,,0
catam5,,,,Cabsha,tartas,,0
catam5,,,,Cheescake Tarta,tartas,,0
catam5,,,,Higo,tartas,,0
catam5,,,,Imperial Tarta,tartas,,0
catam5,,,,Lemon Pie Tarta,tartas,,0
catam5,,,,Maracuya Tarta,tartas,,0
catam5,,,,Mousse,tartas,,0
catam5,,,,Rocher,tartas,,0
catam5,,,,Bomba,tortas,,0
catam5,,,,Chaja,tortas,,0
catam5,,,,Imperial,tortas,,0
catam5,,,,Maria Luisa,tortas,,0
catam5,,,,Selva Negra,tortas,,0
catam5,,,,Tropical,tortas,,0
catam5,,,,BOMBON,tortas heladas,,0
catam5,,,,CHOCOOREO,tortas heladas,,0
catam5,,,,CLASICA AM/CHOC,tortas heladas,,0
catam5,,,,CLASICA VAI/ DL,tortas heladas,,0
catam5,,,,DEL AMERICANA,tortas heladas,,0
catam5,,,,DEL DULCE D LECHE,tortas heladas,,0
catam5,,,,OMELETTE,tortas heladas,,0
catam5,,,,PRIMAVERA,tortas heladas,,0
catam5,,,,VERONA,tortas heladas,,0
monteagudo1,,,,DIET AMERICANA,diet,,0
monteagudo1,,,,DIET ANANA,diet,,0
monteagudo1,,,,DIET BANANA,diet,,0
monteagudo1,,,,DIET DULCE DE LECHE,diet,,0
monteagudo1,,,,DIET DURAZNO,diet,,0
monteagudo1,,,,DIET VAINILLA,diet,,0
monteagudo1,,,,BOMBON ROCHER,helado,chocolate,0
monteagudo1,,,,CHOCOLATE,helado,chocolate,0
monteagudo1,,,,CHOCOLATE A LA CUBANA,helado,chocolate,0
monteagudo1,,,,CHOCOLATE AMARGO,helado,chocolate,0
monteagudo1,,,,CHOCOLATE BLANCO,helado,chocolate,0
monteagudo1,,,,CHOCOLATE CON ALMENDRAS,helado,chocolate,0
monteagudo1,,,,CHOCOLATE CON CEREZAS,helado,chocolate,0
monteagudo1,,,,CHOCOLATE DUBAI,helado,chocolate,0
monteagudo1,,,,CHOCOLATE SUIZO,helado,chocolate,0
